ID,Milestone,Workstream,Task,Deliverable / Acceptance,Owner,Status,Target,Depends on,Notes
1.1,M1 Design & Specification,Design,Concept and V1 screens,Initial screen set agreed as direction,Oxolus,Done,2026,,
1.2,M1 Design & Specification,Design,V2 update from client feedback,Audience broadened to students/residents/physicians; specialty picker; 0-100% scoring,Oxolus,Done,2026,1.1,Client feedback executed
1.3,M1 Design & Specification,Specification,Engine behaviours specified (seven pillars),AI Dial tiers; jargon detection; Exam vs Tutor; progressive disclosure; randomised pools; closing/teach-back; per-station scoring,Oxolus,Done,Jun 2026,1.2,
1.4,M1 Design & Specification,Specification,Station templates integrated,ITB pump (PMR-002) and Ankylosing Spondylitis (PLX-PMR-AS-001) as reference stations,Oxolus,Done,Jun 2026,1.3,
1.5,M1 Design & Specification,Specification,Knowledge Bridge defined,Post-simulation remediation engine distinct from Station Report; trigger rules fixed,Oxolus,Done,Jun 2026,1.3,
1.6,M1 Design & Specification,Design,V3 consolidated bundle assembled,Marketing site + all screens + station pages + documentation as navigable HTML,Oxolus,Done,Jun 2026,1.3;1.4;1.5,Generated via build pipeline
1.7,M1 Design & Specification,Design,Requirements traceability map,Every client requirement mapped to the screen/spec that addresses it with status legend,Oxolus,Done,Jun 2026,1.6,Basis for sign-off
1.8,M1 Design & Specification,Design,Header/nav redesign,Centered sticky topbar; dropdown submenus; vectorised brand mark; verified both themes,Oxolus,Done,Jul 2026,1.6,
1.9,M1 Design & Specification,Delivery,Design bundle delivered to client,Runnable local bundle + covering email,Oxolus,Done,Jul 2026,1.7;1.8,
2.1,M2 Client Approval,Client,Green light to build received,Written approval of V3 design,Client,Done,05 Jul 2026,1.9,
2.2,M2 Client Approval,Client,Master station build review committed,Honest build-perspective read on master station promised to client,Oxolus,Done,Jul 2026,2.1,Deliver during Phase 1
2.3,M2 Client Approval,Decision,Station entry format decided,Stations created and enabled dynamically from admin dashboard; no document import pipeline,Oxolus,Done,Jul 2026,2.1,Confirmed to client in writing
3.1,M3 Phase 0 Foundation,Infrastructure,Repo with specs and design reference,CLAUDE.md; station schema spec; V3 bundle committed as binding reference,Oxolus,Done,20 Jul 2026,2.1,
3.2,M3 Phase 0 Foundation,Infrastructure,Database created and linked,Region Frankfurt; access via CLI; migrations workflow established,Alex + Oxolus,Done,20 Jul 2026,3.1,
3.3,M3 Phase 0 Foundation,Frontend,App scaffold + design tokens + theme toggle,All 72 token values match design reference exactly; no-flash theme persistence,Oxolus,Done,20 Jul 2026,3.1,
3.4,M3 Phase 0 Foundation,Frontend,Brand mark as inline vector,No raster logo; renders clean on both themes,Oxolus,Done,20 Jul 2026,3.3,Fixed after checkpoint review
